#: :type=:list
#source	HGNC_name	dbTF	coTF	in_AGS
CTBP2	C-terminal binding protein 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CTNNB1	catenin beta 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DAXX	death domain associated protein [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DCAF6	DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DDX1	DEAD-box helicase 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DDX17	DEAD-box helicase 17 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DDX54	DEAD-box helicase 54 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DHRS7B	dehydrogenase/reductase 7B [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DHX9	DExH-box helicase 9 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DPF2	double PHD fingers 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
EDF1	endothelial differentiation related factor 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
EID1	EP300 interacting inhibitor of differentiation 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
EID2	EP300 interacting inhibitor of differentiation 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
EID2B	EP300 interacting inhibitor of differentiation 2B [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
